variant,count,ratio,cum_ratio
"('A_Cancelled', 'O_Cancelled')",121,0.08281998631074607,0.08281998631074607
"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",95,0.0650239561943874,0.14784394250513347
"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",94,0.06433949349760439,0.21218343600273787
"('A_Create Application', 'A_Submitted', 'A_Concept')",90,0.061601642710472276,0.2737850787132101
"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",81,0.055441478439425054,0.32922655715263516
"('A_Validating', 'O_Returned', 'A_Incomplete')",50,0.034223134839151265,0.36344969199178645
"('A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",44,0.030116358658453114,0.3935660506502396
"('O_Create Offer', 'O_Created', 'O_Sent (mail and online)')",34,0.02327173169062286,0.41683778234086244
"('A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",32,0.02190280629705681,0.43874058863791926
"('A_Cancelled', 'O_Cancelled', 'O_Cancelled')",25,0.017111567419575632,0.4558521560574949
"('A_Validating', 'O_Returned', 'A_Incomplete', 'O_Accepted', 'A_Pending')",23,0.01574264202600958,0.47159479808350446
"('A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete')",21,0.014373716632443531,0.485968514715948
"('A_Validating', 'O_Returned', 'O_Accepted', 'A_Pending')",19,0.013004791238877482,0.4989733059548255
"('A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating')",18,0.012320328542094456,0.5112936344969199
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",18,0.012320328542094456,0.5236139630390143
"('O_Accepted', 'A_Pending')",17,0.01163586584531143,0.5352498288843257
"('A_Create Application', 'A_Submitted', 'W_Handle leads', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",15,0.01026694045174538,0.5455167693360711
"('A_Validating', 'O_Returned', 'W_Validate application', 'A_Incomplete', 'A_Validating')",15,0.01026694045174538,0.5557837097878164
"('A_Validating', 'O_Returned', 'A_Denied', 'O_Refused')",14,0.009582477754962354,0.5653661875427788
"('A_Incomplete',)",14,0.009582477754962354,0.5749486652977411
"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",11,0.007529089664613279,0.5824777549623544
"('A_Create Application', 'A_Submitted', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'O_Sent (mail and online)', 'W_Complete application', 'A_Complete')",11,0.007529089664613279,0.5900068446269677
"('A_Validating', 'W_Validate application', 'A_Incomplete', 'O_Returned')",10,0.006844626967830253,0.596851471594798
"('A_Denied', 'O_Refused')",10,0.006844626967830253,0.6036960985626283
"('A_Create Application', 'A_Concept', 'A_Accepted', 'O_Create Offer', 'O_Created', 'O_Sent (mail and online)', 'A_Complete')",10,0.006844626967830253,0.6105407255304586
"('A_Create Application', 'A_Submitted')",10,0.006844626967830253,0.6173853524982889
"('A_Validating', 'O_Accepted', 'A_Pending')",10,0.006844626967830253,0.6242299794661191
"('O_Accepted', 'A_Pending', 'O_Cancelled')",9,0.006160164271047228,0.6303901437371664
"('A_Validating', 'O_Returned', 'A_Incomplete', 'A_Validating', 'O_Accepted', 'A_Pending')",9,0.006160164271047228,0.6365503080082137
"('A_Validating', 'O_Returned')",8,0.0054757015742642025,0.6420260095824779
